gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,74,0
1,0,0,0,34,1,0,0,2,0,2,0,0,0,1,0,3,56.95,3625,0
1,0,0,0,2,1,0,0,2,2,0,0,0,0,0,1,3,53.85,536,1
1,0,0,0,45,0,1,0,2,0,2,2,0,0,1,0,0,42.3,3571,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,674,1
0,0,0,0,8,1,2,1,0,0,2,0,2,2,0,1,2,99.65,2173,1
1,0,0,1,22,1,2,1,0,2,0,0,2,0,0,1,1,89.1,3674,0
0,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,3,29.75,1145,0
0,0,1,0,28,1,2,1,0,0,2,2,2,2,0,1,2,104.8,4385,1
1,0,0,1,62,1,0,0,2,2,0,0,0,0,1,0,0,56.15,4632,0
1,0,1,1,13,1,0,0,2,0,0,0,0,0,0,1,3,49.95,1775,0
1,0,0,0,16,1,0,2,1,1,1,1,1,1,2,0,1,18.95,1213,0
1,0,1,0,58,1,2,1,0,0,2,0,2,2,1,0,1,100.35,5689,0
1,0,0,0,49,1,2,1,0,2,2,0,2,2,0,1,0,103.7,5422,1
1,0,0,0,25,1,0,1,2,0,2,2,2,2,0,1,2,105.5,4179,0
0,0,1,1,69,1,2,1,2,2,2,2,2,2,2,0,1,113.25,6430,0
0,0,0,0,52,1,0,2,1,1,1,1,1,1,1,0,3,20.65,2496,0
1,0,0,1,71,1,2,1,2,0,2,0,2,2,2,0,0,106.7,6310,0
0,0,1,1,10,1,0,0,0,0,2,2,0,0,0,0,1,55.2,1660,1
0,0,0,0,21,1,0,1,0,2,2,0,0,2,0,1,2,90.05,3597,0
1,1,0,0,1,0,1,0,0,0,2,0,0,2,0,1,2,39.65,112,1
1,0,1,0,12,1,0,2,1,1,1,1,1,1,1,0,0,19.8,852,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,25,1
0,0,1,0,58,1,2,0,0,2,0,2,0,0,2,1,1,59.9,4637,0
1,0,1,1,49,1,0,0,2,2,0,2,0,0,0,0,1,59.6,4331,0
0,0,0,0,30,1,0,0,2,2,0,0,0,0,0,1,0,55.3,3245,0
1,0,1,1,47,1,2,1,0,2,0,0,2,2,0,1,2,99.35,5268,1
1,0,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,30.2,77,1
1,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,1,90.25,5983,0
0,0,0,1,17,1,0,0,0,0,0,0,2,2,0,1,3,64.7,2609,1
0,1,1,0,71,1,2,1,2,2,2,2,0,0,2,1,1,96.35,6126,0
1,1,1,0,2,1,0,1,0,0,2,0,2,2,0,1,1,95.5,787,0
0,0,1,1,27,1,0,0,2,2,2,2,0,0,1,0,3,66.15,3610,0
1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,20.2,26,0
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,151,0
0,0,1,1,72,1,2,1,2,2,0,2,2,0,2,0,0,99.9,6275,0
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,1182,1
0,0,0,0,46,1,0,1,0,0,2,0,0,0,0,1,1,74.8,4664,0
1,0,0,0,34,1,2,1,0,2,2,0,2,2,0,1,2,106.35,4665,1
